"Date of harvest",," "," ","Oct 11","Oct 25","Nov 11","Nov 25","Dec 11","Jan 11","Feb 11","Mar 11","Apr 11","May 11"
"Air-dried yield (%, w/w)",," "," ","6.6","6","5.2","5.2","4.5","4.8","3.6","3.5","3.7","5.6"
"Compound ID",,"Ria","Rib"," "," "," "," "," "," "," "," "," "," "
"Monoterpene hydrocarbons"," "," "," "," "," "," "," "," "," "," "," "," "," "
" α-Thujene","929","1035","Ri, MS, CoGC","4.8","3.7","4.8","3.2","4.5","4.2","3","3.3","2.7","1.7"
" α-Pinene","938","1076","Ri, MS, CoGC","1.6","1.5","1.8","1.9","1.8","1.8","1.7","1.6","1.1","0.5"
" Camphene","953","1076","Ri, MS, CoGC","0.2","0.2","0.3","0.7","0.4","0.4","0.6","0.5","0.3","0.1"
" β-Pinene","980","1118","Ri, MS, CoGC","0.9"," ","1","0.7","1.3","1.3"," ","1.2","0.1","0.2"
" Myrcene","993","1174","Ri, MS, CoGC","3.3","4","2.9","5.1","2.8","2.7","3.6","1.8","2","1.1"
" α-Phellandrene","1004","1033"," ","0.5","0.3","0.4","0.3","0.4","0.5","0.4","0.3","0.5","0.2"
" α-Terpinene","1013","1188","Ri, MS","3.4","2.1","2.3","0.6","1.9","2.09","1.5","2.2","4"," "
" p-Cymene","1025","1280","Ri, MS, CoGC","27.2","28.4","34.9","28.5","37.6","35","36.2","42.1","46.8","8.1"
" β-Ocimene","1040","1225"," ","0.06","0.05","0.04"," "," "," "," "," ","0.1","0.1"
" γ-Terpinene","1057","1255","Ri, MS, CoGC","24.1","18.5","18.9","15.3","14.3","12.8","11.4","16.2","22","17.1"
" Total"," "," "," ","66.3","59.1","67.8","56.7","65.2","60.9","58.5","69.5","80.3","29.2"
"Oxygenated monoterpenes"," "," "," "," "," "," "," "," "," "," "," "," "," "
" Cis-Sabinene hydrate","1058","1556"," ","0.1","0.1","0.1","0.1","0.2","0.2","0.6","0.2","0.2"," "
" Terpinolene","1086","1265"," ","0.1","0.1","0.1","0.5","0.1","0.1","0.1","0.1","0.1"," "
" Linalool","1098","1553","Ri, MS","0.1","0.1","0.1"," ","0.2","0.2"," ","0.1","0.1"," "
" p-Menth-2-en-1-ol","1129","1638"," "," "," "," "," "," ","0.1","0.1","0.1","0.1"," "
" Borneol","1167","1719","Ri, MS, CoGC","0.1","0.1","0.1","0.1","0.3","0.3","0.6","0.2","0.2","0.1"
" Terpinen-4-ol","1176","1611","Ri, MS","0.3","0.5","0.4","0.1","0.7","0.8","1","0.5","0.3","0.3"
" p-Cymen-8-ol","1182","1864","Ri, MS"," ","0.1","1","1.1","0.2","0.2","0.6","0.1","0.1"," "
" α-Terpineol","1189","1706"," "," ","0.1"," "," "," "," ","0.2"," ","0.04","0.07"
" Isothymol methyl ether","1239","1607"," "," "," "," ","0.2"," ","0.1","0.1"," "," "," "
" Cumin aldehyde","1240","1759"," ","0.1"," "," ","0.1","0.1","0.1","0.2","0.1","0.1"," "
" Carvone","1241","1752"," "," "," ","0.1"," ","0.1","0.2","0.2","0.1"," "," "
" Thymol","1293","2198","Ri, MS, CoGC","0.3","0.6","0.4","0.3","0.6","0.7","1.1","0.4","0.2","0.2"
" Carvacrol","1299","2239","Ri, MS, CoGC","29.8","35","28.2","25.3","28.1","30.8","28.5","25.3","16.1","62.9"
" Total"," "," "," ","30.9","36.7","29.6","27.8","30.5","33.6","32.9","27","17.2","63.7"
"Sesquiterpenes"," "," "," "," "," "," "," "," "," "," "," "," "," "
" Caryophyllene","1415","1612","Ri, MS, CoGC","0.9","0.7","0.4","1.9","0.7","0.8","0.9","0.5","0.3","1"
" Viridiflorene","1491","1695"," "," "," "," ","0.1"," "," "," "," "," "," "
" Bisabolene","1508","1741","Ri, MS"," ","0.08"," "," "," "," "," "," "," "," "
" Caryophyllene oxide","1577","2008","Ri, MS, CoGC","0.5","1.3","0.5","2.8","0.9","1.2","2.3","1","0.7","0.1"
" Total"," "," "," ","1.4","2.1","0.9","4.9","1.7","2.1","3.3","1.5","1","1.1"
" Sub total"," "," "," ","98.7","97.9","98.4","89.4","97.5","96.6","94.7","98","98.5","94.1"